epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1722.4,0.91277,1.59726,0.96474,0.98729,0.98315,0.99367,0.84502,0.61799,0.37098,0.86222,0.00333283,0.00333283,0.00333283
2,3331.2,0.69979,0.4847,0.89415,0.99619,0.99418,0.99467,0.86639,0.57211,0.31017,0.8526,0.00660017,0.00660017,0.00660017
3,4925.29,0.69369,0.46072,0.89811,0.99703,0.99486,0.99477,0.87366,0.56059,0.28918,0.85755,0.00980151,0.00980151,0.00980151
4,6526.58,0.66399,0.42854,0.89347,0.99748,0.99586,0.99477,0.88711,0.53073,0.26606,0.84804,0.009703,0.009703,0.009703
5,8120.62,0.59402,0.37386,0.87311,0.99766,0.99658,0.99482,0.9137,0.45023,0.23795,0.8256,0.009604,0.009604,0.009604
6,9713.92,0.55869,0.34941,0.86118,0.99764,0.99684,0.99483,0.91935,0.43147,0.23096,0.81936,0.009505,0.009505,0.009505
7,11306.2,0.54104,0.33665,0.85421,0.99753,0.99726,0.99479,0.92279,0.42165,0.22637,0.81587,0.009406,0.009406,0.009406
8,12897.7,0.52936,0.3283,0.84888,0.99752,0.9974,0.99479,0.92462,0.41489,0.22462,0.81303,0.009307,0.009307,0.009307
9,14489.5,0.51989,0.32277,0.84359,0.99749,0.99746,0.99478,0.92591,0.40944,0.22369,0.81096,0.009208,0.009208,0.009208
10,16081.8,0.51381,0.31783,0.84049,0.99746,0.99747,0.99479,0.92677,0.40593,0.22334,0.80948,0.009109,0.009109,0.009109
11,17674.2,0.50787,0.31398,0.83761,0.99752,0.99752,0.9948,0.92725,0.40338,0.22297,0.80839,0.00901,0.00901,0.00901
12,19266.2,0.50212,0.31137,0.83647,0.99759,0.99758,0.99481,0.92763,0.40135,0.22263,0.80762,0.008911,0.008911,0.008911
13,20857.3,0.49787,0.30761,0.8341,0.99761,0.9976,0.99482,0.92789,0.39984,0.22251,0.80673,0.008812,0.008812,0.008812
14,22448.8,0.49346,0.30621,0.83117,0.99768,0.99764,0.99482,0.9285,0.39757,0.22236,0.80568,0.008713,0.008713,0.008713
15,24040.8,0.49083,0.30404,0.83051,0.99777,0.99766,0.99482,0.92889,0.39566,0.2222,0.80493,0.008614,0.008614,0.008614
16,25632.6,0.48693,0.3021,0.83028,0.99781,0.99769,0.99483,0.92923,0.39434,0.22187,0.80434,0.008515,0.008515,0.008515
17,27225.5,0.48313,0.29923,0.82749,0.99788,0.99773,0.99485,0.92962,0.39274,0.2218,0.80353,0.008416,0.008416,0.008416
18,28817.4,0.48343,0.29983,0.82714,0.99792,0.99775,0.99486,0.92983,0.39149,0.22172,0.80265,0.008317,0.008317,0.008317
19,30409.5,0.4796,0.29729,0.82623,0.99794,0.99776,0.99487,0.93008,0.39025,0.22169,0.80184,0.008218,0.008218,0.008218
20,32001.8,0.47758,0.29655,0.8249,0.99799,0.9978,0.99487,0.93008,0.38897,0.22167,0.80104,0.008119,0.008119,0.008119
21,33594,0.47603,0.2954,0.82417,0.99802,0.99779,0.99487,0.93034,0.38765,0.22159,0.80003,0.00802,0.00802,0.00802
