epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.951,1.10986,2.33021,0.9572,0.9425,0.93272,0.98019,0.77102,0.80428,0.55747,0.85834,0.00333167,0.00333167,0.00333167
2,699.109,0.92216,0.68887,0.89863,0.98189,0.97254,0.99263,0.76371,0.87107,0.44486,0.87118,0.00653303,0.00653303,0.00653303
3,1028.14,0.85643,0.58458,0.87913,0.98675,0.97929,0.99328,0.77737,0.83927,0.42487,0.86412,0.0096024,0.0096024,0.0096024
4,1356.85,0.80915,0.53126,0.8691,0.99009,0.98438,0.99428,0.79193,0.78528,0.38395,0.85422,0.009406,0.009406,0.009406
5,1685.39,0.75314,0.46753,0.85644,0.99326,0.98642,0.99419,0.81881,0.70064,0.34933,0.83951,0.009208,0.009208,0.009208
6,2013.95,0.71973,0.43093,0.84675,0.99535,0.99088,0.99464,0.84923,0.6161,0.32005,0.81921,0.00901,0.00901,0.00901
7,2342.2,0.69542,0.4096,0.84237,0.99639,0.9926,0.99479,0.84889,0.62946,0.31307,0.81919,0.008812,0.008812,0.008812
8,2670.4,0.6783,0.3965,0.83857,0.99612,0.99321,0.99465,0.861,0.58764,0.29929,0.81302,0.008614,0.008614,0.008614
9,2998.3,0.66305,0.38,0.83623,0.99584,0.99285,0.9947,0.85785,0.594,0.29829,0.81245,0.008416,0.008416,0.008416
10,3325.67,0.64743,0.37142,0.83214,0.9972,0.99347,0.99483,0.87234,0.55652,0.28538,0.80574,0.008218,0.008218,0.008218
11,3667.85,0.62886,0.36026,0.82887,0.99692,0.99554,0.99483,0.87181,0.55072,0.28122,0.80422,0.00802,0.00802,0.00802
12,4027.25,0.60633,0.34748,0.82464,0.99724,0.99492,0.99485,0.88901,0.503,0.26518,0.79698,0.007822,0.007822,0.007822
13,4394.78,0.59056,0.33441,0.82097,0.99749,0.99529,0.99484,0.8898,0.50127,0.26113,0.79621,0.007624,0.007624,0.007624
14,4749.97,0.58103,0.33024,0.81962,0.99766,0.99621,0.99484,0.89307,0.49035,0.25562,0.79474,0.007426,0.007426,0.007426
15,5098.37,0.57235,0.32509,0.81953,0.99828,0.99567,0.9949,0.89606,0.48415,0.25283,0.79377,0.007228,0.007228,0.007228
16,5448.2,0.56697,0.3183,0.81667,0.99799,0.99649,0.99485,0.89804,0.47709,0.25029,0.79204,0.00703,0.00703,0.00703
17,5797.78,0.55878,0.31436,0.81637,0.99824,0.99602,0.99484,0.90185,0.46905,0.24643,0.79073,0.006832,0.006832,0.006832
18,6146.51,0.55521,0.31174,0.81473,0.99813,0.99615,0.9949,0.90084,0.47075,0.24515,0.7906,0.006634,0.006634,0.006634
19,6495.8,0.551,0.30707,0.8139,0.99817,0.99665,0.9949,0.89911,0.47468,0.24392,0.79071,0.006436,0.006436,0.006436
20,6844.29,0.54816,0.30642,0.8141,0.99835,0.99638,0.99492,0.90171,0.46972,0.24197,0.79016,0.006238,0.006238,0.006238
21,7192.69,0.54115,0.30182,0.8132,0.99856,0.9968,0.99493,0.90325,0.46411,0.23986,0.78887,0.00604,0.00604,0.00604
22,7542.36,0.53807,0.29969,0.81206,0.99806,0.99676,0.99491,0.90488,0.45781,0.23873,0.78757,0.005842,0.005842,0.005842
23,7891.85,0.53206,0.29477,0.8113,0.99825,0.99697,0.99491,0.90692,0.45275,0.23703,0.78711,0.005644,0.005644,0.005644
24,8238.69,0.5299,0.29327,0.81097,0.99823,0.9971,0.99491,0.90824,0.45013,0.23451,0.78675,0.005446,0.005446,0.005446
25,8576.06,0.52594,0.2918,0.80904,0.99833,0.99722,0.9949,0.90703,0.45373,0.23464,0.78719,0.005248,0.005248,0.005248
26,8903.6,0.52306,0.28999,0.80933,0.99833,0.9972,0.9949,0.90862,0.4513,0.23348,0.78642,0.00505,0.00505,0.00505
27,9230.91,0.52393,0.28938,0.80938,0.99841,0.99742,0.99492,0.91084,0.44385,0.23231,0.78533,0.004852,0.004852,0.004852
28,9558.12,0.51616,0.28512,0.80787,0.99823,0.99722,0.99491,0.9093,0.4493,0.23168,0.78564,0.004654,0.004654,0.004654
29,9885.35,0.51218,0.28199,0.80699,0.9983,0.99735,0.9949,0.91013,0.44359,0.23276,0.78497,0.004456,0.004456,0.004456
30,10212.5,0.51103,0.28253,0.80698,0.99837,0.99759,0.99492,0.91098,0.44274,0.23043,0.78465,0.004258,0.004258,0.004258
