epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9332,2.05896,26.7574,1.95876,0.0043,0.18115,0.01577,0.00849,1.64169,4.50575,1.40363,5.93315e-05,5.93315e-05,5.93315e-05
2,76.734,1.4838,8.26464,1.34431,0.0257,0.45159,0.03819,0.01838,1.67088,3.97545,1.36659,0.00011782,0.00011782,0.00011782
3,113.364,1.4533,6.26475,1.30183,0.00922,0.56993,0.0294,0.01431,1.48355,3.77655,1.20604,0.000175127,0.000175127,0.000175127
4,150.315,1.4206,5.23124,1.28361,0.01386,0.38193,0.06207,0.03271,1.51679,3.94987,1.23986,0.000173684,0.000173684,0.000173684
5,187.047,1.45448,4.78381,1.29264,0.01275,0.81845,0.05863,0.02801,1.62702,3.40536,1.29595,0.000171912,0.000171912,0.000171912
6,222.933,1.43866,4.27275,1.31081,0.46133,0.14739,0.08033,0.04136,1.5372,3.16021,1.29725,0.000170139,0.000170139,0.000170139
7,258.318,1.43935,3.97554,1.3216,0.45833,0.15861,0.08423,0.04325,1.60464,3.13436,1.31545,0.000168367,0.000168367,0.000168367
8,293.669,1.42694,3.86074,1.32263,0.6473,0.0691,0.09387,0.04896,1.51314,3.0981,1.28627,0.000166595,0.000166595,0.000166595
9,329.105,1.43517,3.66289,1.31416,0.51278,0.17967,0.12131,0.0661,1.50236,2.94639,1.3018,0.000164823,0.000164823,0.000164823
10,364.457,1.44921,3.63609,1.30279,0.49298,0.18185,0.13646,0.07282,1.47291,2.88699,1.30923,0.000163051,0.000163051,0.000163051
11,397.753,1.41469,3.47212,1.2932,0.4978,0.20303,0.14809,0.08621,1.4867,2.78964,1.29035,0.000161279,0.000161279,0.000161279
12,431.289,1.42062,3.31351,1.29123,0.47269,0.26059,0.17192,0.09225,1.56076,2.79947,1.33913,0.000159507,0.000159507,0.000159507
13,464.705,1.42707,3.22104,1.3127,0.44077,0.23027,0.19223,0.10847,1.51815,2.67341,1.29264,0.000157735,0.000157735,0.000157735
14,498.16,1.42081,3.03955,1.30775,0.49419,0.23212,0.23326,0.12901,1.49653,2.63216,1.31774,0.000155963,0.000155963,0.000155963
15,531.471,1.43698,2.99922,1.33255,0.41266,0.33171,0.24402,0.14133,1.50633,2.64388,1.34381,0.000154191,0.000154191,0.000154191
16,564.862,1.40787,2.9132,1.33205,0.37729,0.38461,0.2695,0.15195,1.50149,2.52145,1.3654,0.000152418,0.000152418,0.000152418
17,598.155,1.39605,2.77069,1.35588,0.47047,0.36785,0.32002,0.18547,1.50076,2.36864,1.36746,0.000150646,0.000150646,0.000150646
18,631.573,1.38679,2.7288,1.33359,0.47727,0.32874,0.30881,0.17452,1.48543,2.40857,1.35022,0.000148874,0.000148874,0.000148874
19,664.778,1.38073,2.64718,1.33506,0.43075,0.44388,0.37764,0.2251,1.47207,2.23572,1.35015,0.000147102,0.000147102,0.000147102
20,698.048,1.37979,2.61872,1.33008,0.31799,0.54119,0.36117,0.21271,1.47014,2.36712,1.3226,0.00014533,0.00014533,0.00014533
21,731.332,1.39093,2.45706,1.33967,0.4487,0.42836,0.41246,0.23953,1.49685,2.28459,1.34909,0.000143558,0.000143558,0.000143558
22,764.658,1.34982,2.32234,1.33917,0.38657,0.51276,0.40491,0.24098,1.49037,2.20197,1.35829,0.000141786,0.000141786,0.000141786
23,798.002,1.34867,2.24213,1.33311,0.49786,0.52623,0.4834,0.28342,1.52551,1.99381,1.38797,0.000140014,0.000140014,0.000140014
24,831.425,1.32879,2.15258,1.33488,0.47612,0.50778,0.49414,0.2901,1.50964,1.89964,1.37708,0.000138242,0.000138242,0.000138242
25,864.742,1.35947,2.14284,1.33736,0.4261,0.63025,0.53901,0.31514,1.50717,1.85718,1.36248,0.00013647,0.00013647,0.00013647
26,898.147,1.34612,1.98751,1.34374,0.56,0.59865,0.57689,0.32219,1.58311,1.80545,1.41556,0.000134697,0.000134697,0.000134697
27,931.549,1.32666,1.94671,1.33503,0.49384,0.57044,0.52861,0.29016,1.61307,3.47444,1.43221,0.000132925,0.000132925,0.000132925
28,964.764,1.30096,1.8764,1.31619,0.56435,0.53798,0.54295,0.31307,1.51728,2.03624,1.39757,0.000131153,0.000131153,0.000131153
29,997.988,1.30563,1.86469,1.32763,0.49559,0.60082,0.57821,0.32356,1.57802,1.96652,1.41421,0.000129381,0.000129381,0.000129381
30,1031.37,1.29513,1.78343,1.32249,0.54947,0.64491,0.62131,0.37709,1.45631,1.70419,1.34735,0.000127609,0.000127609,0.000127609
31,1064.63,1.28614,1.68925,1.30608,0.56863,0.68773,0.64432,0.37777,1.49378,1.75469,1.36207,0.000125837,0.000125837,0.000125837
32,1098.01,1.27944,1.56485,1.31631,0.56015,0.6916,0.68243,0.38478,1.58712,1.55828,1.41687,0.000124065,0.000124065,0.000124065
33,1131.36,1.29343,1.59271,1.3153,0.53938,0.71732,0.6841,0.40188,1.48232,1.628,1.34286,0.000122293,0.000122293,0.000122293
34,1164.77,1.28615,1.50115,1.32357,0.54205,0.71794,0.68195,0.40427,1.47366,1.55606,1.34133,0.000120521,0.000120521,0.000120521
35,1198.11,1.29602,1.46927,1.30952,0.53764,0.73208,0.69779,0.41604,1.46565,1.51133,1.32999,0.000118749,0.000118749,0.000118749
36,1231.51,1.27958,1.39375,1.29106,0.51913,0.7527,0.70377,0.42,1.45021,1.42167,1.31593,0.000116976,0.000116976,0.000116976
37,1264.83,1.26605,1.36222,1.29988,0.57367,0.7545,0.71656,0.41973,1.49164,1.50284,1.3694,0.000115204,0.000115204,0.000115204
38,1298.21,1.26499,1.39698,1.30546,0.50524,0.80461,0.679,0.40399,1.43066,1.46287,1.32878,0.000113432,0.000113432,0.000113432
39,1331.42,1.24833,1.33212,1.29099,0.61187,0.74247,0.72224,0.41927,1.48481,1.38391,1.34264,0.00011166,0.00011166,0.00011166
40,1364.74,1.22974,1.32242,1.27297,0.60259,0.72882,0.71531,0.42747,1.441,1.44559,1.3262,0.000109888,0.000109888,0.000109888
41,1398.03,1.22584,1.22001,1.27975,0.57905,0.79778,0.72515,0.43405,1.43304,1.33728,1.32879,0.000108116,0.000108116,0.000108116
42,1431.4,1.20818,1.23562,1.26038,0.63342,0.72178,0.72333,0.43635,1.44021,1.4748,1.34192,0.000106344,0.000106344,0.000106344
43,1464.63,1.21553,1.24574,1.26695,0.571,0.78197,0.71535,0.42948,1.44965,1.42165,1.33813,0.000104572,0.000104572,0.000104572
44,1497.8,1.20849,1.2085,1.2543,0.5662,0.76488,0.69835,0.41858,1.4552,1.52925,1.3479,0.0001028,0.0001028,0.0001028
45,1530.98,1.21418,1.17495,1.25251,0.61804,0.78006,0.72499,0.42404,1.49103,1.45727,1.35185,0.000101028,0.000101028,0.000101028
46,1564.19,1.20893,1.1259,1.26909,0.63318,0.75505,0.74739,0.44653,1.46195,1.33343,1.33692,9.92555e-05,9.92555e-05,9.92555e-05
47,1597.56,1.2255,1.10961,1.28274,0.59018,0.8109,0.74623,0.44464,1.45056,1.35609,1.33005,9.74834e-05,9.74834e-05,9.74834e-05
48,1630.79,1.17943,1.10422,1.2348,0.62003,0.81868,0.76576,0.44081,1.51371,1.20646,1.36003,9.57113e-05,9.57113e-05,9.57113e-05
49,1664,1.17915,1.05839,1.24471,0.60803,0.7824,0.72672,0.43898,1.43651,1.42535,1.31613,9.39392e-05,9.39392e-05,9.39392e-05
50,1697.2,1.1752,1.08337,1.23011,0.56921,0.79393,0.73122,0.43689,1.48108,1.38273,1.34371,9.21671e-05,9.21671e-05,9.21671e-05
51,1730.38,1.17528,1.08708,1.23721,0.62526,0.80117,0.75009,0.45646,1.44135,1.26257,1.31733,9.0395e-05,9.0395e-05,9.0395e-05
52,1763.73,1.15567,1.03405,1.22977,0.61614,0.85265,0.76058,0.46956,1.3996,1.20001,1.3047,8.86229e-05,8.86229e-05,8.86229e-05
53,1796.94,1.16702,1.0341,1.22159,0.62454,0.81379,0.74929,0.45544,1.42391,1.25481,1.31511,8.68508e-05,8.68508e-05,8.68508e-05
54,1830.08,1.14983,1.04384,1.23095,0.64258,0.76607,0.73255,0.44839,1.43118,1.38856,1.31846,8.50787e-05,8.50787e-05,8.50787e-05
55,1863.23,1.13565,0.98179,1.20938,0.61542,0.81244,0.73961,0.44528,1.46442,1.39553,1.33825,8.33066e-05,8.33066e-05,8.33066e-05
56,1896.41,1.15302,0.98062,1.2147,0.63078,0.85096,0.76683,0.46195,1.43301,1.17823,1.32143,8.15345e-05,8.15345e-05,8.15345e-05
57,1929.63,1.15338,0.98143,1.22113,0.60927,0.81901,0.75089,0.44739,1.46229,1.30056,1.33512,7.97624e-05,7.97624e-05,7.97624e-05
