epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9795,2.17821,6.73505,1.56802,0.00455,0.10346,0.00659,0.00348,1.59773,4.63038,1.133,5.78472e-05,5.78472e-05,5.78472e-05
2,34.482,1.66173,5.29382,1.17673,0.12943,0.14109,0.05697,0.02492,1.88976,3.45302,1.31645,0.00011388,0.00011388,0.00011388
3,51.8825,1.57666,4.64058,1.15767,0.19328,0.2567,0.16453,0.08522,1.68756,2.88129,1.22182,0.000167603,0.000167603,0.000167603
4,69.2144,1.55304,4.18992,1.15772,0.27967,0.3718,0.29361,0.1568,1.63768,2.4814,1.21171,0.000164605,0.000164605,0.000164605
5,87.0671,1.51402,3.71869,1.14765,0.30612,0.45731,0.41368,0.22526,1.62132,2.21391,1.19623,0.00016114,0.00016114,0.00016114
6,104.558,1.50837,3.39225,1.16007,0.41378,0.52951,0.4822,0.25033,1.65691,2.0017,1.20555,0.000157675,0.000157675,0.000157675
7,122.239,1.47821,3.15152,1.13648,0.42683,0.6132,0.53346,0.31434,1.46151,1.82089,1.15066,0.00015421,0.00015421,0.00015421
8,139.802,1.50451,2.94022,1.15524,0.54631,0.60333,0.61788,0.3695,1.44879,1.61032,1.15466,0.000150745,0.000150745,0.000150745
9,157.642,1.45773,2.69371,1.13608,0.52682,0.68716,0.67111,0.38241,1.51758,1.53777,1.17047,0.00014728,0.00014728,0.00014728
10,175.244,1.46113,2.54781,1.13649,0.56884,0.70461,0.69322,0.39288,1.50437,1.42316,1.16292,0.000143815,0.000143815,0.000143815
11,192.955,1.42484,2.48873,1.13908,0.55375,0.75414,0.69854,0.42339,1.41428,1.37185,1.14503,0.00014035,0.00014035,0.00014035
12,210.868,1.43114,2.31946,1.13903,0.61859,0.73725,0.74468,0.43978,1.43319,1.32203,1.14503,0.000136885,0.000136885,0.000136885
