Accuracy: 0.349104
Mean IoU: 0.457073
Mean Average Precision: 0.643949

Class,Precision,Recall,F1-Score
AS,0.833333,0.196078,0.31746
AC,0.606557,0.711538,0.654867
AD,0.510204,0.961538,0.666667
AH,0.782609,0.692308,0.734694
2S,0.628205,0.960784,0.75969
2C,0.537634,0.980392,0.694444
2D,0.690141,0.942308,0.796748
2H,0.563218,0.942308,0.705036
3S,0.553191,0.981132,0.707483
3C,0.603448,0.673077,0.636364
3D,0.61194,0.788462,0.689076
3H,0.666667,0.901961,0.766667
4S,0.6875,0.647059,0.666667
4C,0.756757,0.451613,0.565657
4D,0.698113,0.711538,0.704762
4H,0.612903,0.730769,0.666667
5S,0.652174,0.882353,0.75
5C,0,0,0
5D,0.55,0.846154,0.666667
5H,0.86,0.826923,0.843137
6S,0.765957,0.692308,0.727273
6C,0.675676,0.961538,0.793651
6D,0.656716,0.846154,0.739496
6H,0.661017,0.75,0.702703
7S,0.76,0.365385,0.493506
7C,0.762712,0.865385,0.810811
7D,0.733333,0.862745,0.792793
7H,0.647059,0.846154,0.733333
8S,0.608696,0.269231,0.373333
8C,0.643836,0.903846,0.752
8D,0.714286,0.673077,0.693069
8H,0.684211,0.75,0.715596
9S,0.803922,0.788462,0.796117
9C,0.923077,0.230769,0.369231
9D,0.75,0.807692,0.777778
9H,0.842105,0.307692,0.450704
10S,0.64557,0.980769,0.778626
10C,0.585366,0.923077,0.716418
10D,0.633803,0.865385,0.731707
10H,0.672414,0.75,0.709091
JS,0.684211,0.75,0.715596
JC,0.860465,0.711538,0.778947
JD,0.767442,0.634615,0.694737
JH,0,0,0
QS,0.77193,0.846154,0.807339
QC,0.684211,0.25,0.366197
QD,0.833333,0.384615,0.526316
QH,0.661765,0.882353,0.756303
KS,0.84,0.807692,0.823529
KC,0.774194,0.461538,0.578313
KD,0.677419,0.403846,0.506024
KH,0,0,0
UNKUNK,-2.78022e-12,-2.78022e-12,-2.78022e-12
