Accuracy: 0.0376744
Mean IoU: 0.42464
Mean Average Precision: 0.0816244

Class,Precision,Recall,F1-Score
AS,0,0,0
AC,0,0,0
AD,0,0,0
AH,0,0,0
2S,0,0,0
2C,0,0,0
2D,0,0,0
2H,0,0,0
3S,0,0,0
3C,0,0,0
3D,1,0.0192308,0.0377358
3H,0,0,0
4S,0,0,0
4C,0,0,0
4D,0.142857,0.0192308,0.0338983
4H,0,0,0
5S,0,0,0
5C,0.1,0.0192308,0.0322581
5D,0,0,0
5H,0,0,0
6S,0.25,0.0192308,0.0357143
6C,0.0277778,0.0192308,0.0227273
6D,0.125,0.0192308,0.0333333
6H,0,0,0
7S,0.232143,0.5,0.317073
7C,0.0842912,0.423077,0.140575
7D,0.0841122,0.176471,0.113924
7H,0,0,0
8S,0.194444,0.403846,0.2625
8C,0.0618557,0.230769,0.097561
8D,0,0,0
8H,0,0,0
9S,0.75,0.403846,0.525
9C,0.0488889,0.211538,0.0794224
9D,0.0571429,0.115385,0.0764331
9H,0,0,0
10S,0.297872,0.538462,0.383562
10C,0.192593,0.5,0.278075
10D,0.0662021,0.730769,0.121406
10H,0,0,0
JS,0.0232558,0.0192308,0.0210526
JC,0.130435,0.115385,0.122449
JD,0.0206186,0.0384615,0.0268456
JH,0,0,0
QS,0,0,0
QC,0,0,0
QD,0.0909091,0.115385,0.101695
QH,0,0,0
KS,0.230769,0.115385,0.153846
KC,0.0149254,0.0192308,0.0168067
KD,0.1,0.0576923,0.0731707
KH,0,0,0
UNKUNK,0,7.79122e-43,7.74918e-43
