epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.628,1.41841,2.50437,1.10755,0.94252,0.96181,0.98651,0.68937,1.12395,0.65144,0.98405,0.00333082,0.00333082,0.00333082
2,539.383,1.25324,0.9034,1.06242,0.98909,0.99346,0.99451,0.72762,1.05463,0.51217,0.98466,0.0065322,0.0065322,0.0065322
3,804.121,1.26131,0.80041,1.08065,0.98912,0.99109,0.99436,0.65896,1.26336,0.52027,1.0648,0.00960159,0.00960159,0.00960159
4,1065.78,1.25357,0.74092,1.08548,0.99106,0.99184,0.99461,0.73015,1.03986,0.43001,0.99431,0.009406,0.009406,0.009406
5,1326.22,1.22179,0.66405,1.06985,0.99705,0.99886,0.99497,0.76741,0.92145,0.38933,0.9492,0.009208,0.009208,0.009208
6,1586.88,1.19763,0.62116,1.05798,0.99763,0.99943,0.995,0.7435,1.01668,0.38533,0.97886,0.00901,0.00901,0.00901
7,1847.43,1.18262,0.59838,1.05164,0.99839,0.99919,0.995,0.79747,0.83585,0.35027,0.91884,0.008812,0.008812,0.008812
8,2107.91,1.17426,0.57963,1.04657,0.9986,0.99953,0.99499,0.81193,0.79477,0.33831,0.90502,0.008614,0.008614,0.008614
9,2368.37,1.16178,0.5647,1.03939,0.99812,0.99983,0.99487,0.79206,0.86314,0.33993,0.92321,0.008416,0.008416,0.008416
10,2628.79,1.11887,0.5514,1.01967,0.99889,0.99976,0.995,0.80665,0.82807,0.32856,0.90941,0.008218,0.008218,0.008218
11,2889.44,1.07001,0.53337,1.00357,0.99881,0.99991,0.995,0.8207,0.77207,0.31619,0.89195,0.00802,0.00802,0.00802
12,3149.26,1.06151,0.52155,0.99763,0.99904,0.99994,0.995,0.80048,0.85257,0.32132,0.91571,0.007822,0.007822,0.007822
13,3409.1,1.0514,0.51436,0.99528,0.99912,1,0.995,0.82204,0.77863,0.30787,0.89115,0.007624,0.007624,0.007624
14,3669.48,1.04884,0.51109,0.99052,0.99908,0.99992,0.99499,0.83001,0.76,0.30075,0.88928,0.007426,0.007426,0.007426
15,3929.73,1.04509,0.5004,0.98878,0.99893,0.99998,0.995,0.81993,0.7983,0.30512,0.89841,0.007228,0.007228,0.007228
16,4189.77,1.03405,0.49476,0.9868,0.99924,1,0.995,0.82661,0.78871,0.30211,0.8916,0.00703,0.00703,0.00703
17,4450.09,1.02472,0.48851,0.98351,0.99916,1,0.995,0.83182,0.76193,0.29591,0.88259,0.006832,0.006832,0.006832
18,4710.52,1.02792,0.48514,0.98364,0.99928,1,0.995,0.82671,0.79508,0.2965,0.894,0.006634,0.006634,0.006634
19,4970.65,1.02299,0.48116,0.98106,0.99909,1,0.995,0.83969,0.73639,0.28853,0.87762,0.006436,0.006436,0.006436
20,5231.12,1.02072,0.47432,0.98021,0.99938,1,0.995,0.83753,0.75399,0.28769,0.87964,0.006238,0.006238,0.006238
21,5490.87,1.01517,0.47269,0.9783,0.99925,1,0.995,0.83614,0.75664,0.28794,0.88393,0.00604,0.00604,0.00604
22,5750.81,1.01036,0.46789,0.97627,0.99917,1,0.995,0.83122,0.77852,0.28854,0.88842,0.005842,0.005842,0.005842
23,6010.51,1.01002,0.46322,0.9752,0.99919,0.99994,0.995,0.84477,0.72837,0.28159,0.87535,0.005644,0.005644,0.005644
24,6270.38,1.00927,0.46216,0.97424,0.99934,1,0.995,0.84052,0.74858,0.28164,0.87857,0.005446,0.005446,0.005446
25,6530.02,1.00048,0.45681,0.97192,0.99931,1,0.995,0.8413,0.74639,0.27942,0.87382,0.005248,0.005248,0.005248
26,6789.7,0.99958,0.45179,0.97134,0.99939,0.99991,0.995,0.84624,0.72739,0.27497,0.87405,0.00505,0.00505,0.00505
27,7049.64,0.99793,0.45011,0.96955,0.99925,0.99997,0.995,0.83835,0.75841,0.27937,0.87718,0.004852,0.004852,0.004852
28,7312.97,0.99632,0.44674,0.96895,0.99936,1,0.995,0.83935,0.75968,0.27897,0.88039,0.004654,0.004654,0.004654
29,7576.6,0.98807,0.44036,0.96626,0.99937,1,0.995,0.83786,0.75635,0.27717,0.87895,0.004456,0.004456,0.004456
30,7846.92,0.98854,0.44028,0.96688,0.99933,0.99995,0.995,0.84498,0.73147,0.27158,0.87232,0.004258,0.004258,0.004258
31,8110.39,0.98316,0.43474,0.96555,0.99938,0.99993,0.995,0.84401,0.73527,0.27259,0.87363,0.00406,0.00406,0.00406
32,8373.87,0.9839,0.43202,0.96517,0.99936,1,0.995,0.84252,0.74271,0.27239,0.87511,0.003862,0.003862,0.003862
33,8637.59,0.9779,0.42911,0.96483,0.99939,1,0.995,0.84011,0.7545,0.27264,0.87597,0.003664,0.003664,0.003664
34,8900.74,0.97152,0.42679,0.95999,0.99938,1,0.995,0.83852,0.75916,0.27289,0.87709,0.003466,0.003466,0.003466
35,9164.25,0.9699,0.42207,0.95994,0.99932,1,0.995,0.83694,0.76421,0.27352,0.87767,0.003268,0.003268,0.003268
36,9427.82,0.96781,0.42055,0.95841,0.99934,1,0.995,0.83952,0.7573,0.27196,0.87621,0.00307,0.00307,0.00307
37,9712.39,0.96498,0.418,0.95644,0.99932,1,0.995,0.8373,0.76516,0.27201,0.87729,0.002872,0.002872,0.002872
38,9999.45,0.95599,0.41262,0.95472,0.99931,1,0.995,0.83791,0.76305,0.2704,0.87731,0.002674,0.002674,0.002674
39,10335.9,0.95993,0.41169,0.95559,0.99934,1,0.995,0.83653,0.76668,0.27147,0.87781,0.002476,0.002476,0.002476
40,10663,0.95277,0.40843,0.95301,0.99943,0.99999,0.995,0.83427,0.7701,0.27153,0.87841,0.002278,0.002278,0.002278
41,10998.3,0.98181,0.34796,1.02553,0.99941,1,0.995,0.83334,0.77411,0.27252,0.87828,0.00208,0.00208,0.00208
42,11328.8,0.9685,0.34243,1.01926,0.99941,1,0.995,0.83156,0.78045,0.27336,0.87906,0.001882,0.001882,0.001882
43,11653.4,0.96127,0.33892,1.01562,0.9994,1,0.995,0.83025,0.78431,0.27398,0.88004,0.001684,0.001684,0.001684
44,11984.8,0.95563,0.33524,1.0137,0.99941,1,0.995,0.83003,0.78365,0.27389,0.88008,0.001486,0.001486,0.001486
45,12266,0.94847,0.33106,1.01158,0.99941,1,0.995,0.8309,0.782,0.27349,0.87968,0.001288,0.001288,0.001288
46,12536.4,0.93967,0.32799,1.00641,0.9994,1,0.995,0.82942,0.78484,0.27337,0.88026,0.00109,0.00109,0.00109
47,12807,0.93216,0.32435,1.00561,0.9994,1,0.995,0.82815,0.78933,0.274,0.88128,0.000892,0.000892,0.000892
48,13074.4,0.92137,0.32085,1.00025,0.9994,1,0.995,0.82754,0.79283,0.27476,0.88209,0.000694,0.000694,0.000694
49,13337.8,0.91538,0.31886,0.99821,0.9994,1,0.995,0.82686,0.7957,0.27499,0.88275,0.000496,0.000496,0.000496
50,13601.6,0.90519,0.31407,0.99333,0.9994,1,0.995,0.82569,0.79969,0.27556,0.88372,0.000298,0.000298,0.000298
